brandName,Immune,Energy,Sleep/Calm,Cognitive/Focus,Joint/Bone,Heart/Cardio,Digestive/Gut,Men’s/Women’s,Sports/Performance,General Wellness
MRM Nutrition,0.3076923076923077,0.23076923076923078,0.08791208791208792,0.12087912087912088,0.08791208791208792,0.16483516483516483,0.21978021978021978,0.21978021978021978,0.4175824175824176,0.0
MacroLife Naturals,0.875,0.78125,0.03125,0.0,0.0,0.59375,1.0,0.0,0.53125,0.5
Mason Natural,0.25,0.1,0.025,0.0,0.3,0.2,0.05,0.975,0.075,0.0
Maxi Health,0.371900826446281,0.2644628099173554,0.1487603305785124,0.0743801652892562,0.11570247933884298,0.1652892561983471,0.8181818181818182,0.39669421487603307,0.03305785123966942,1.0
MegaFood,0.525,0.35,0.125,0.15,0.2625,0.1,0.225,0.4875,0.225,0.325
Meijer,0.16304347826086957,0.043478260869565216,0.09782608695652174,0.021739130434782608,0.1956521739130435,0.08695652173913043,0.15217391304347827,0.9239130434782609,0.06521739130434782,0.25
Metagenics,0.38953488372093026,0.1511627906976744,0.1744186046511628,0.046511627906976744,0.16279069767441862,0.21511627906976744,0.2558139534883721,0.7790697674418605,0.09883720930232558,0.040697674418604654
Moss Nutrition,0.14754098360655737,0.0,0.03278688524590164,0.0,0.11475409836065574,0.04918032786885246,0.04918032786885246,1.0,0.01639344262295082,0.0
Mountain Meadow Herbs,0.1724137931034483,0.13793103448275862,0.3103448275862069,0.034482758620689655,0.06896551724137931,0.15517241379310345,0.1206896551724138,1.0,0.08620689655172414,0.017241379310344827
NATURELO Premium Supplements,0.6037735849056604,0.37735849056603776,0.1509433962264151,0.16981132075471697,0.2830188679245283,0.2830188679245283,0.1320754716981132,0.7169811320754716,0.09433962264150944,0.018867924528301886
NFH,0.6521739130434783,0.17391304347826086,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.2717391304347826,0.5108695652173914,0.6739130434782609,0.08695652173913043,0.010869565217391304
NOW,0.33394160583941607,0.23722627737226276,0.09306569343065693,0.12773722627737227,0.2062043795620438,0.19525547445255476,0.21715328467153286,0.9945255474452555,0.18613138686131386,0.24817518248175183
NOW Sports,0.4326923076923077,0.375,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.21153846153846154,0.038461538461538464,0.6442307692307693,0.8846153846153846,0.009615384615384616
Native Remedies,1.0,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.02040816326530612,0.10204081632653061,0.10204081632653061,0.9591836734693877,0.04081632653061224,0.02040816326530612
Natrol,0.23958333333333334,0.16666666666666666,0.65625,0.09375,0.07291666666666667,0.08333333333333333,0.03125,1.0,0.11458333333333333,0.020833333333333332
Natural Factors,0.453125,0.109375,0.046875,0.09375,0.234375,0.15625,0.25,1.0,0.21875,0.046875
Nature Made,0.5121951219512195,0.21951219512195122,0.12195121951219512,0.08536585365853659,0.34146341463414637,0.32926829268292684,0.012195121951219513,0.47560975609756095,0.43902439024390244,0.18292682926829268
Nature's Answer,0.6935483870967742,0.024193548387096774,0.056451612903225805,0.03225806451612903,0.07258064516129033,0.0967741935483871,0.10483870967741936,0.9919354838709677,0.024193548387096774,0.08870967741935484
Nature's Blend,0.32653061224489793,0.08163265306122448,0.02040816326530612,0.0,0.3877551020408163,0.1836734693877551,0.10204081632653061,0.1836734693877551,0.02040816326530612,0.0
Nature's Bounty,0.4722222222222222,0.2222222222222222,0.1388888888888889,0.0,0.1388888888888889,0.05555555555555555,0.0,0.9722222222222222,0.027777777777777776,0.19444444444444445
Nature's Craft,0.28431372549019607,0.13725490196078433,0.0784313725490196,0.14705882352941177,0.14705882352941177,0.19607843137254902,0.14705882352941177,1.0,0.16666666666666666,0.12745098039215685
Nature's Sunshine,0.43859649122807015,0.2807017543859649,0.17543859649122806,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.49122807017543857,0.45614035087719296,0.08771929824561403,0.05263157894736842
Nature's Truth,0.18773946360153257,0.06896551724137931,0.07662835249042145,0.0,0.06513409961685823,0.08812260536398467,0.06896551724137931,1.0,0.09195402298850575,0.14559386973180077
Nature's Way,0.5303326810176126,0.13894324853228962,0.09393346379647749,0.08414872798434442,0.10371819960861056,0.18199608610567514,0.2172211350293542,0.9921722113502935,0.14090019569471623,0.19373776908023482
NatureWise,0.5263157894736842,0.23684210526315788,0.3157894736842105,0.2894736842105263,0.3684210526315789,0.34210526315789475,0.21052631578947367,1.0,0.2894736842105263,0.15789473684210525
NaturesPlus,0.5330578512396694,0.32231404958677684,0.12396694214876033,0.10330578512396695,0.30578512396694213,0.2603305785123967,0.2190082644628099,0.11983471074380166,0.15289256198347106,0.1652892561983471
NeoLife Nutritionals,0.5476190476190477,0.2619047619047619,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.3333333333333333,0.42857142857142855,0.30952380952380953,0.30952380952380953,0.16666666666666666
Neurobiologix,0.42424242424242425,0.12121212121212122,0.15151515151515152,0.21212121212121213,0.09090909090909091,0.09090909090909091,0.42424242424242425,0.5454545454545454,0.09090909090909091,0.0
New Chapter,0.5204081632653061,0.336734693877551,0.21428571428571427,0.16326530612244897,0.23469387755102042,0.2653061224489796,0.17346938775510204,0.9183673469387755,0.09183673469387756,0.07142857142857142
Nootropics Depot,0.0,0.0,0.013157894736842105,0.02631578947368421,0.0,0.0,0.0,1.0,0.0,0.0
Nordic Naturals,0.8181818181818182,0.06818181818181818,0.0,0.9090909090909091,0.3181818181818182,0.8863636363636364,0.0,0.18181818181818182,0.18181818181818182,0.6136363636363636
North American Herb & Spice,0.6976744186046512,0.2558139534883721,0.06976744186046512,0.023255813953488372,0.09302325581395349,0.06976744186046512,0.3023255813953488,0.0,0.27906976744186046,0.023255813953488372
NuMedica,0.37168141592920356,0.2743362831858407,0.1504424778761062,0.1415929203539823,0.21238938053097345,0.21238938053097345,0.21238938053097345,0.4778761061946903,0.168141592920354,0.02654867256637168
NusaPure,0.02197802197802198,0.0,0.0,0.02197802197802198,0.01098901098901099,0.0989010989010989,0.15384615384615385,1.0,0.7912087912087912,0.0
Nutra BioGenesis,0.2037037037037037,0.018518518518518517,0.09259259259259259,0.018518518518518517,0.09259259259259259,0.07407407407407407,0.2962962962962963,1.0,0.037037037037037035,0.018518518518518517
NutraBio,0.19653179190751446,0.21965317919075145,0.08670520231213873,0.11560693641618497,0.028901734104046242,0.16184971098265896,0.06936416184971098,0.8959537572254336,0.5780346820809249,0.23121387283236994
NutraBio Performance,0.3548387096774194,0.22580645161290322,0.0,0.06451612903225806,0.03225806451612903,0.0,0.0,0.967741935483871,0.6129032258064516,0.0
NutraKey,0.35135135135135137,0.4594594594594595,0.24324324324324326,0.24324324324324326,0.10810810810810811,0.2702702702702703,0.21621621621621623,0.8648648648648649,0.8108108108108109,0.13513513513513514
NutraMedix,0.425,0.075,0.05,0.025,0.05,0.075,0.025,0.9,0.0,0.0
NutriBiotic Immunity,1.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.1111111111111111,0.0,0.2222222222222222,0.8333333333333334
NutriONN,0.7,0.3,0.1,0.26666666666666666,0.26666666666666666,0.7333333333333333,0.3333333333333333,1.0,0.3,0.03333333333333333
Nutricost,0.005050505050505051,0.005050505050505051,0.0,0.0,0.0,0.07575757575757576,0.010101010101010102,0.9949494949494949,0.0,0.0
Nutricost Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.0
Nutrilite,0.5737704918032787,0.45901639344262296,0.01639344262295082,0.3770491803278688,0.4098360655737705,0.18032786885245902,0.08196721311475409,0.8852459016393442,0.09836065573770492,0.22950819672131148
OLLY,0.56,0.17333333333333334,0.3466666666666667,0.22666666666666666,0.06666666666666667,0.04,0.14666666666666667,0.9066666666666666,0.22666666666666666,0.21333333333333335
ON Optimum Nutrition,0.90625,0.875,0.03125,0.28125,0.03125,0.140625,0.375,0.328125,1.0,0.015625
Om Mushroom Superfood,0.6875,0.46875,0.40625,0.46875,0.0,0.09375,0.65625,1.0,0.25,0.0
Onnit,0.2857142857142857,0.16326530612244897,0.22448979591836735,0.24489795918367346,0.061224489795918366,0.04081632653061224,0.1836734693877551,0.9795918367346939,0.24489795918367346,0.14285714285714285
Oregon's Wild Harvest,0.13194444444444445,0.0625,0.18055555555555555,0.013888888888888888,0.0,0.020833333333333332,0.034722222222222224,1.0,0.034722222222222224,0.013888888888888888
Organic India,0.5230769230769231,0.18461538461538463,0.5076923076923077,0.15384615384615385,0.03076923076923077,0.4,0.24615384615384617,0.9230769230769231,0.03076923076923077,0.015384615384615385
Ormus Minerals,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ortho Molecular Products,0.41025641025641024,0.15384615384615385,0.0,0.0,0.02564102564102564,0.23076923076923078,0.358974358974359,0.8461538461538461,1.0,0.05128205128205128
PEScience,0.5111111111111111,0.37777777777777777,0.2111111111111111,0.12222222222222222,0.044444444444444446,0.32222222222222224,0.16666666666666666,0.9888888888888889,0.43333333333333335,0.0
PS ProSupps,0.5405405405405406,0.8648648648648649,0.1891891891891892,0.16216216216216217,0.05405405405405406,0.10810810810810811,0.02702702702702703,0.8648648648648649,0.972972972972973,0.0
Paradise,0.09523809523809523,0.12698412698412698,0.06349206349206349,0.047619047619047616,0.1111111111111111,0.015873015873015872,0.06349206349206349,1.0,0.015873015873015872,0.0
Planetary Herbals,0.4838709677419355,0.16129032258064516,0.1935483870967742,0.0,0.06451612903225806,0.0967741935483871,0.0967741935483871,1.0,0.0967741935483871,0.0967741935483871
Plum Flower,0.125,0.0,0.020833333333333332,0.0,0.0,0.041666666666666664,0.0,0.8958333333333334,0.0,0.020833333333333332
Premier Research Labs,0.30434782608695654,0.14492753623188406,0.057971014492753624,0.11594202898550725,0.07246376811594203,0.17391304347826086,0.2463768115942029,0.9565217391304348,0.057971014492753624,0.057971014492753624
Priority One Nutritional Supplements,0.05714285714285714,0.0,0.08571428571428572,0.0,0.0,0.05714285714285714,0.08571428571428572,0.9714285714285714,0.0,0.0
ProCaps,0.46078431372549017,0.3627450980392157,0.2647058823529412,0.4215686274509804,0.18627450980392157,0.9411764705882353,0.24509803921568626,0.10784313725490197,0.11764705882352941,0.2647058823529412
ProCaps Laboratories,0.3739130434782609,0.3565217391304348,0.3391304347826087,0.391304347826087,0.23478260869565218,0.9391304347826087,0.16521739130434782,0.13043478260869565,0.0782608695652174,0.22608695652173913
ProEnzol,0.4444444444444444,0.07407407407407407,0.13580246913580246,0.04938271604938271,0.04938271604938271,0.024691358024691357,0.9876543209876543,1.0,0.024691358024691357,0.024691358024691357
Professional Botanicals,0.1836734693877551,0.8979591836734694,0.08163265306122448,0.04081632653061224,0.08163265306122448,0.08163265306122448,0.9183673469387755,0.20408163265306123,0.02040816326530612,0.0
Progressive Professional from Progressive Laboratories,0.16279069767441862,0.023255813953488372,0.023255813953488372,0.0,0.023255813953488372,0.0,0.13953488372093023,0.9767441860465116,0.046511627906976744,0.0
Protocol For Life Balance,0.4117647058823529,0.27058823529411763,0.23529411764705882,0.29411764705882354,0.24705882352941178,0.3058823529411765,0.3058823529411765,0.5176470588235295,0.18823529411764706,0.07058823529411765
Pure Encapsulations,0.2413793103448276,0.07389162561576355,0.08866995073891626,0.059113300492610835,0.10837438423645321,0.10098522167487685,0.11576354679802955,1.0,0.08374384236453201,0.13054187192118227
Pure Essence,0.7222222222222222,0.5555555555555556,0.3055555555555556,0.16666666666666666,0.19444444444444445,0.027777777777777776,0.19444444444444445,0.4722222222222222,0.05555555555555555,0.3333333333333333
Pure Herbs,0.11009174311926606,0.11926605504587157,0.027522935779816515,0.06422018348623854,0.05504587155963303,0.25688073394495414,0.21100917431192662,1.0,0.05504587155963303,0.0
Pure Naturals,0.37142857142857144,0.2,0.11428571428571428,0.08571428571428572,0.2,0.37142857142857144,0.22857142857142856,1.0,0.11428571428571428,0.11428571428571428
Pure Nootropics,0.07272727272727272,0.12727272727272726,0.18181818181818182,0.43636363636363634,0.05454545454545454,0.03636363636363636,0.03636363636363636,0.9818181818181818,0.07272727272727272,0.03636363636363636
PureMax Labs YummyVite,0.1568627450980392,0.17647058823529413,0.09803921568627451,0.0784313725490196,0.0392156862745098,0.23529411764705882,0.09803921568627451,1.0,0.13725490196078433,0.0196078431372549
Puritan's Pride,0.17867867867867868,0.04354354354354354,0.07957957957957958,0.036036036036036036,0.13063063063063063,0.13963963963963963,0.057057057057057055,0.993993993993994,0.06606606606606606,0.036036036036036036
Quantum Health,0.7272727272727273,0.030303030303030304,0.15151515151515152,0.0,0.0,0.09090909090909091,0.0,1.0,0.09090909090909091,0.0
Quantum Nutrition Labs,0.2976190476190476,0.13095238095238096,0.03571428571428571,0.16666666666666666,0.17857142857142858,0.27380952380952384,0.36904761904761907,0.9761904761904762,0.05952380952380952,0.047619047619047616
Ra Herbals,0.3902439024390244,0.0,0.3902439024390244,0.0,0.0,0.0,0.4146341463414634,1.0,0.43902439024390244,0.0
Real Mushrooms,0.3333333333333333,0.0,0.0,0.1,0.0,0.0,0.06666666666666667,1.0,0.23333333333333334,0.0
Renue By Science,0.08163265306122448,0.1836734693877551,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.5510204081632653,1.0,0.10204081632653061,0.0
Revive,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Rise-N-Shine,0.02857142857142857,0.05714285714285714,0.07142857142857142,0.0,0.02857142857142857,0.02857142857142857,0.07142857142857142,0.9571428571428572,0.014285714285714285,0.014285714285714285
Rite Aid,0.27906976744186046,0.09302325581395349,0.023255813953488372,0.0,0.18604651162790697,0.18604651162790697,0.06976744186046512,0.9767441860465116,0.06976744186046512,0.046511627906976744
Ron Teeguarden's Dragon Herbs,0.4,0.3142857142857143,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.14285714285714285,0.11428571428571428,0.17142857142857143,0.14285714285714285,0.05714285714285714
SNAP,0.35555555555555557,0.2,0.06666666666666667,0.044444444444444446,0.08888888888888889,0.3333333333333333,0.13333333333333333,0.9777777777777777,0.4888888888888889,0.044444444444444446
Safrel,0.43333333333333335,0.03333333333333333,0.23333333333333334,0.2,0.2,0.36666666666666664,0.23333333333333334,1.0,0.16666666666666666,0.0
Samsara Herbs,0.20930232558139536,0.046511627906976744,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,1.0,0.06976744186046512,0.0
Seeking Health,0.16842105263157894,0.2,0.5578947368421052,0.08421052631578947,0.010526315789473684,0.031578947368421054,0.15789473684210525,0.9473684210526315,0.09473684210526316,0.08421052631578947
Shaklee,0.4473684210526316,0.39473684210526316,0.11842105263157894,0.2631578947368421,0.3157894736842105,0.3815789473684211,0.21052631578947367,0.5921052631578947,0.06578947368421052,0.09210526315789473
Solaray,0.3377777777777778,0.14222222222222222,0.07555555555555556,0.022222222222222223,0.21333333333333335,0.1288888888888889,0.23555555555555555,0.29777777777777775,0.1511111111111111,0.022222222222222223
Source Naturals,0.38372093023255816,0.2761627906976744,0.14825581395348839,0.12790697674418605,0.11046511627906977,0.21220930232558138,0.20930232558139536,0.997093023255814,0.17151162790697674,0.0755813953488372
Sports Research,0.3387096774193548,0.016129032258064516,0.016129032258064516,0.1935483870967742,0.24193548387096775,0.12903225806451613,0.0967741935483871,0.9193548387096774,0.3870967741935484,0.0
SuperSmart,0.03773584905660377,0.005390835579514825,0.008086253369272238,0.018867924528301886,0.0215633423180593,0.03234501347708895,0.04582210242587601,1.0,0.013477088948787063,0.0026954177897574125
Swanson,0.403899721448468,0.13370473537604458,0.12534818941504178,0.08356545961002786,0.11977715877437325,0.22841225626740946,0.17827298050139276,0.9944289693593314,0.08635097493036212,0.1894150417827298
Swiss BioEnergetics,0.21568627450980393,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.09803921568627451,0.0784313725490196,0.0392156862745098,0.8823529411764706,0.23529411764705882,0.0
Syntrax,0.24299065420560748,0.04672897196261682,0.9252336448598131,0.07476635514018691,0.0,0.308411214953271,0.9065420560747663,0.0,0.40186915887850466,0.34579439252336447
Terry Naturally,0.46153846153846156,0.1794871794871795,0.4358974358974359,0.28205128205128205,0.07692307692307693,0.23076923076923078,0.0641025641025641,0.9871794871794872,0.38461538461538464,0.08974358974358974
Thorne,0.1597222222222222,0.0625,0.1111111111111111,0.1597222222222222,0.125,0.1875,0.0763888888888889,1.0,0.2361111111111111,0.0
Totally Products,0.2391304347826087,0.25,0.05434782608695652,0.03260869565217391,0.03260869565217391,0.1956521739130435,0.15217391304347827,0.9891304347826086,0.1956521739130435,0.0
Trace Minerals,0.6865671641791045,0.6119402985074627,0.07462686567164178,0.08955223880597014,0.19402985074626866,0.29850746268656714,0.34328358208955223,0.04477611940298507,0.43283582089552236,0.07462686567164178
Traditional Medicinals,0.36363636363636365,0.030303030303030304,0.21212121212121213,0.0,0.030303030303030304,0.24242424242424243,0.5151515151515151,1.0,0.0,0.48484848484848486
USANA,0.3225806451612903,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.0,0.16129032258064516,1.0,0.0,0.0967741935483871
Vimerson Health,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.30952380952380953,0.4523809523809524,0.2857142857142857,0.35714285714285715,1.0,0.14285714285714285,0.09523809523809523
Vital Nutrients,0.023391812865497075,0.0,0.005847953216374269,0.0,0.0,0.029239766081871343,0.017543859649122806,0.9941520467836257,0.005847953216374269,0.005847953216374269
Vital Proteins,0.6101694915254238,0.2033898305084746,0.06779661016949153,0.0,0.7966101694915254,0.0,0.0847457627118644,1.0,0.2542372881355932,0.15254237288135594
Vitamatic,0.19607843137254902,0.17647058823529413,0.11764705882352941,0.0196078431372549,0.0784313725490196,0.058823529411764705,0.0196078431372549,1.0,0.0196078431372549,0.0
Vitanica,1.0,0.0,0.09375,0.0,0.03125,0.0625,0.09375,1.0,0.0,0.0625
Windmill,0.4444444444444444,0.19444444444444445,0.05555555555555555,0.05555555555555555,0.25,0.2777777777777778,0.027777777777777776,0.08333333333333333,0.1111111111111111,0.08333333333333333
Windmill Natural Vitamins,0.5189873417721519,0.1518987341772152,0.05063291139240506,0.0759493670886076,0.11392405063291139,0.27848101265822783,0.12658227848101267,0.10126582278481013,0.0759493670886076,0.1518987341772152
Wise Woman Herbals,0.07142857142857142,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,0.08571428571428572,0.7571428571428571,0.22857142857142856,0.0
Wonder Laboratories,0.1407942238267148,0.04693140794223827,0.02888086642599278,0.04332129963898917,0.1624548736462094,0.17689530685920576,0.10469314079422383,0.9675090252707581,0.036101083032490974,0.007220216606498195
Woodstock Vitamins,0.578125,0.25,0.15625,0.109375,0.28125,0.203125,0.234375,0.15625,0.15625,0.1875
XYMOGEN,0.6084905660377359,0.1509433962264151,0.11320754716981132,0.10849056603773585,0.1179245283018868,0.2028301886792453,0.4056603773584906,0.12735849056603774,0.13679245283018868,0.07547169811320754
Xtendlife,0.21212121212121213,0.15151515151515152,0.030303030303030304,0.15151515151515152,0.18181818181818182,0.24242424242424243,0.030303030303030304,0.24242424242424243,0.06060606060606061,0.2727272727272727
ZHOU,0.25,0.3055555555555556,0.1111111111111111,0.19444444444444445,0.1111111111111111,0.1388888888888889,0.16666666666666666,0.8611111111111112,0.3888888888888889,0.05555555555555555
Zarbee's,0.59375,0.0625,0.34375,0.0,0.0,0.0,0.0625,0.25,0.0,0.15625
aSquared Nutrition,0.23684210526315788,0.6052631578947368,0.10526315789473684,0.23684210526315788,0.15789473684210525,0.15789473684210525,0.10526315789473684,1.0,0.8421052631578947,0.13157894736842105
dr.bo,0.3055555555555556,0.16666666666666666,0.027777777777777776,0.1111111111111111,0.1388888888888889,0.08333333333333333,0.4722222222222222,1.0,0.2222222222222222,0.16666666666666666
eXplicit Supplements,0.10909090909090909,0.10909090909090909,0.07272727272727272,0.05454545454545454,0.03636363636363636,0.07272727272727272,0.01818181818181818,0.9636363636363636,0.34545454545454546,0.0
up&up,0.425,0.2,0.15,0.025,0.35,0.125,0.05,0.95,0.15,0.05
vitafusion,0.26666666666666666,0.9333333333333333,0.2,0.06666666666666667,0.26666666666666666,0.0,0.13333333333333333,1.0,0.16666666666666666,0.9
